Plane	Strip	MeanFit	Mean
18	15	6.47	6.47
18	16	6.47	6.47
18	17	6.47	6.47
18	18	6.47	6.47
18	19	6.47	6.47
18	20	6.47	6.47
18	21	6.47	6.47
18	22	6.47	6.47
18	23	6.47	6.47
18	24	6.47	6.47
18	25	6.47	6.47
18	26	6.47	6.47
18	27	6.47	6.47
18	28	6.47	6.47
18	29	6.47	6.47
18	30	6.47	6.47
18	31	6.47	6.47
18	32	6.47	6.47
18	33	6.47	6.47
18	34	6.47	6.47
18	35	6.47	6.47
18	36	6.47	6.47
18	37	6.47	6.47
18	38	6.47	6.47
18	39	6.47	6.47
18	40	6.47	6.47
18	41	6.47	6.47
18	42	6.47	6.47
18	43	6.47	6.47
18	44	6.47	6.47
18	45	6.47	6.47
18	46	6.47	6.47
18	47	6.47	6.47
19	0	6.52	6.52
19	1	6.52	6.52
19	2	6.52	6.52
19	3	6.52	6.52
19	4	6.52	6.52
19	5	6.52	6.52
19	6	6.52	6.52
19	7	6.52	6.52
19	8	6.52	6.52
19	9	6.52	6.52
19	10	6.52	6.52
19	11	6.52	6.52
19	12	6.52	6.52
19	13	6.52	6.52
19	14	6.52	6.52
19	15	6.52	6.52
19	16	6.52	6.52
19	17	6.52	6.52
19	18	6.52	6.52
19	19	6.52	6.52
19	20	6.52	6.52
19	21	6.52	6.52
19	22	6.52	6.52
19	23	6.52	6.52
19	24	6.52	6.52
19	25	6.52	6.52
19	26	6.52	6.52
19	27	6.52	6.52
19	28	6.52	6.52
19	29	6.52	6.52
19	30	6.52	6.52
19	31	6.52	6.52
19	32	6.52	6.52
19	33	6.52	6.52
19	34	6.52	6.52
19	35	6.52	6.52
19	36	6.52	6.52
19	37	6.52	6.52
19	38	6.52	6.52
19	39	6.52	6.52
19	40	6.52	6.52
19	41	6.52	6.52
19	42	6.52	6.52
19	43	6.52	6.52
19	44	6.52	6.52
19	45	6.52	6.52
19	46	6.52	6.52
19	47	6.52	6.52
